frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
143,1787209663.52,0.174,-2.259,-0.770,0.260,0,0,0
144,1787209664.52,0.358,-2.444,-0.845,0.260,0,0,0
145,1787209665.52,0.500,-2.613,-0.903,0.122,0,0,0
146,1787209666.52,0.516,-2.636,-0.972,0.003,1,0,0
147,1787209667.52,0.512,-2.636,-1.044,0.005,1,0,0
148,1787209668.52,0.507,-2.636,-1.121,0.007,1,0,0
149,1787209669.52,0.499,-2.636,-1.202,0.009,1,0,0
150,1787209670.52,0.495,-2.636,-1.232,0.009,1,0,0
151,1787209671.52,0.503,-2.636,-1.149,0.007,1,0,0
152,1787209672.52,0.510,-2.636,-1.071,0.006,1,0,0
153,1787209673.52,0.514,-2.636,-0.997,0.004,1,0,0
154,1787209674.52,0.517,-2.636,-0.927,0.002,1,0,0
155,1787209675.52,0.554,-2.675,-0.755,0.159,0,0,0
156,1787209676.52,0.745,-2.821,-0.632,0.260,0,0,0
157,1787209677.52,0.937,-2.996,-0.848,0.260,0,0,0
158,1787209678.52,1.115,-3.183,-0.689,0.262,0,219,0
159,1787209679.52,1.331,-3.333,-0.567,0.261,0,253,1
160,1787209680.52,1.515,-3.490,-0.865,0.261,0,254,1
161,1787209681.52,1.643,-3.653,-0.876,0.164,0,254,1
162,1787209682.52,1.765,-3.755,-0.465,0.166,0,254,1
163,1787209683.52,1.958,-3.814,0.128,0.261,0,254,1
164,1787209684.52,2.209,-3.772,0.257,0.248,0,247,0
165,1787209685.52,2.457,-3.730,-0.151,0.257,0,0,0
166,1787209686.52,2.601,-3.754,-0.121,0.025,0,0,0
167,1787209687.52,2.602,-3.749,-0.019,0.016,1,0,0
168,1787209688.52,2.602,-3.733,0.086,0.015,1,0,0
169,1787209689.52,2.602,-3.720,0.184,0.013,1,0,0
170,1787209690.52,2.602,-3.725,0.131,0.014,1,0,0
171,1787209691.52,2.602,-3.740,0.029,0.016,1,0,0
172,1787209692.52,2.602,-3.756,-0.076,0.015,1,0,0
173,1787209693.52,2.602,-3.770,-0.174,0.013,1,0,0
174,1787209694.52,2.602,-3.782,-0.267,0.011,1,0,0
175,1787209695.52,2.602,-3.792,-0.353,0.009,1,0,0
176,1787209696.52,2.602,-3.800,-0.435,0.007,1,0,0
177,1787209697.52,2.602,-3.806,-0.513,0.005,1,0,0
178,1787209698.52,2.695,-3.869,-0.662,0.237,0,0,0
179,1787209699.52,2.900,-4.015,-0.612,0.219,0,0,0
180,1787209700.52,3.066,-4.169,-0.847,0.260,0,0,0
181,1787209701.52,3.242,-4.360,-0.808,0.260,0,0,0
182,1787209702.52,3.418,-4.551,-0.822,0.259,0,170,0
183,1787209703.52,3.598,-4.739,-0.855,0.260,0,253,1
184,1787209704.52,3.757,-4.945,-0.920,0.261,0,254,1
185,1787209705.52,3.922,-5.147,-0.871,0.260,0,254,1
186,1787209706.52,4.092,-5.319,-0.612,0.228,0,253,1
187,1787209707.52,4.299,-5.440,-0.079,0.275,0,254,1
188,1787209708.52,4.556,-5.455,0.216,0.259,0,253,1
189,1787209709.52,4.810,-5.402,0.243,0.260,0,247,0
190,1787209710.52,5.042,-5.316,0.501,0.200,0,0,0
191,1787209711.52,5.109,-5.273,0.575,0.004,1,0,0
192,1787209712.52,5.109,-5.271,0.645,0.002,1,0,0
193,1787209713.52,5.109,-5.270,0.712,0.000,1,0,0
194,1787209714.52,5.109,-5.270,0.778,0.000,1,0,0
195,1787209715.52,5.109,-5.270,0.845,0.000,1,0,0
196,1787209716.52,5.108,-5.271,0.911,0.001,1,0,0
197,1787209717.52,5.106,-5.271,0.981,0.003,1,0,0
198,1787209718.52,5.102,-5.271,1.054,0.005,1,0,0
199,1787209719.52,5.096,-5.271,1.131,0.007,1,0,0
200,1787209720.52,5.088,-5.271,1.213,0.009,1,0,0
201,1787209721.52,5.078,-5.271,1.297,0.011,1,0,0
202,1787209722.52,5.066,-5.271,1.389,0.013,1,0,0
203,1787209723.52,5.052,-5.271,1.487,0.015,1,0,0
204,1787209724.52,5.037,-5.271,1.592,0.016,1,149,0
205,1787209725.52,5.022,-5.271,1.694,0.014,1,165,0
206,1787209726.52,5.009,-5.271,1.790,0.012,1,182,0
207,1787209727.52,4.998,-5.271,1.879,0.010,1,202,0
208,1787209728.52,4.989,-5.271,1.963,0.008,1,202,0
209,1787209729.52,4.982,-5.271,2.043,0.006,1,202,0
210,1787209730.52,4.976,-5.271,2.119,0.004,1,223,0
211,1787209731.52,4.972,-5.270,2.290,0.001,1,223,0
212,1787209732.52,4.973,-5.277,2.633,0.020,0,223,0
213,1787209733.52,4.973,-5.294,2.826,0.010,1,247,0
214,1787209734.52,4.973,-5.305,2.915,0.012,1,247,0
215,1787209735.52,4.973,-5.318,3.010,0.014,1,247,0
216,1787209736.52,4.973,-5.332,3.111,0.016,1,253,1
217,1787209737.52,4.865,-5.365,-2.963,0.234,0,253,1
218,1787209738.52,4.610,-5.408,-3.110,0.261,0,254,1
219,1787209739.52,4.351,-5.408,2.984,0.258,0,254,1
220,1787209740.52,4.102,-5.361,2.737,0.255,0,254,1
221,1787209741.52,3.875,-5.248,2.548,0.258,0,254,1
222,1787209742.52,3.657,-5.109,2.591,0.260,0,253,1
223,1787209743.52,3.437,-4.967,2.549,0.260,0,182,0
224,1787209744.52,3.217,-4.831,2.590,0.262,0,0,0
225,1787209745.52,3.001,-4.682,2.525,0.261,0,0,0
226,1787209746.52,2.787,-4.537,2.567,0.259,0,0,0
227,1787209747.52,2.564,-4.405,2.606,0.261,0,0,0
228,1787209748.52,2.342,-4.268,2.590,0.260,0,194,0
229,1787209749.52,2.118,-4.136,2.609,0.260,0,201,0
230,1787209750.52,1.887,-4.018,2.747,0.260,0,0,0
231,1787209751.52,1.655,-3.904,2.568,0.256,0,0,0
232,1787209752.52,1.437,-3.763,2.640,0.262,0,0,0
233,1787209753.52,1.204,-3.645,2.641,0.261,0,0,0
234,1787209754.52,0.982,-3.510,2.600,0.259,0,0,0
235,1787209755.52,0.757,-3.380,2.620,0.261,0,0,0
236,1787209756.52,0.531,-3.252,2.651,0.259,0,0,0
237,1787209757.52,0.302,-3.128,2.638,0.262,0,0,0
238,1787209758.52,0.077,-2.996,2.613,0.261,0,0,0
239,1787209759.52,-0.146,-2.862,2.634,0.258,0,0,0
240,1787209760.52,-0.375,-2.740,2.655,0.261,0,0,0
241,1787209761.52,-0.602,-2.612,2.629,0.261,0,0,0
242,1787209762.52,-0.824,-2.471,2.548,0.261,0,0,0
243,1787209763.52,-1.039,-2.325,2.587,0.259,0,0,0
244,1787209764.52,-1.272,-2.206,2.697,0.262,0,0,0
245,1787209765.52,-1.494,-2.073,2.557,0.259,0,0,0
246,1787209766.52,-1.713,-1.932,2.556,0.262,0,0,0
247,1787209767.52,-1.929,-1.788,2.569,0.258,0,0,0
248,1787209768.52,-2.149,-1.649,2.562,0.262,0,0,0
249,1787209769.52,-2.364,-1.502,2.555,0.259,0,0,0
250,1787209770.52,-2.583,-1.362,2.571,0.261,0,0,0
251,1787209771.52,-2.795,-1.220,2.555,0.259,0,0,0
252,1787209772.52,-3.020,-1.079,2.558,0.262,0,0,0
253,1787209773.52,-3.233,-0.929,2.533,0.259,0,0,0
254,1787209774.52,-3.449,-0.785,2.548,0.261,0,0,0
255,1787209775.52,-3.667,-0.644,2.612,0.259,0,0,0
256,1787209776.52,-3.857,-0.517,2.476,0.197,0,0,0
257,1787209777.52,-4.012,-0.380,2.374,0.254,0,0,0
258,1787209778.52,-4.172,-0.212,2.257,0.180,0,0,0
259,1787209779.52,-4.256,-0.057,1.932,0.256,0,0,0
260,1787209780.52,-4.332,0.190,1.929,0.252,0,0,0
261,1787209781.52,-4.385,0.307,1.945,0.012,1,0,0
262,1787209782.52,-4.379,0.307,1.859,0.010,1,0,0
263,1787209783.52,-4.367,0.307,1.769,0.012,1,0,0
264,1787209784.52,-4.354,0.306,1.672,0.014,1,0,0
265,1787209785.52,-4.339,0.306,1.568,0.016,1,0,0
266,1787209786.52,-4.323,0.306,1.464,0.014,1,0,0
267,1787209787.52,-4.310,0.307,1.368,0.012,1,0,0
268,1787209788.52,-4.299,0.307,1.277,0.010,1,0,0
269,1787209789.52,-4.289,0.307,1.192,0.008,1,0,0
270,1787209790.52,-4.282,0.307,1.112,0.007,1,0,0
271,1787209791.52,-4.276,0.307,1.035,0.005,1,0,0
272,1787209792.52,-4.273,0.307,0.963,0.003,1,0,0
273,1787209793.52,-4.271,0.307,0.895,0.001,1,0,0
274,1787209794.52,-4.270,0.307,0.829,0.001,1,0,0
275,1787209795.52,-4.270,0.308,0.761,0.001,1,0,0
276,1787209796.52,-4.270,0.308,0.696,0.001,1,0,0
277,1787209797.52,-4.270,0.306,0.628,0.002,1,0,0
278,1787209798.52,-4.270,0.303,0.557,0.004,1,0,0
279,1787209799.52,-4.271,0.298,0.482,0.006,1,0,0
280,1787209800.52,-4.271,0.291,0.403,0.008,1,0,0
281,1787209801.52,-4.271,0.283,0.325,0.003,1,0,0
282,1787209802.52,-4.271,0.273,0.237,0.012,1,0,0
283,1787209803.52,-4.271,0.261,0.143,0.014,1,0,0
284,1787209804.52,-4.271,0.246,0.042,0.015,1,0,0
285,1787209805.52,-4.271,0.230,-0.063,0.015,1,0,0
286,1787209806.52,-4.271,0.216,-0.163,0.013,1,0,0
287,1787209807.52,-4.271,0.204,-0.256,0.011,1,0,0
288,1787209808.52,-4.271,0.194,-0.343,0.009,1,0,0
