coverage: t=4710s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=4740s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=4770s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=4800s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4830s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4860s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4890s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4920s known=201.6m2 free=181.3m2 occ=20.4m2 (311x365)
coverage: t=4950s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=4980s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=5010s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=5040s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=5070s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=5100s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=5130s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=5160s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=5190s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
coverage: t=5220s known=201.6m2 free=181.3m2 occ=20.3m2 (311x365)
