coverage: t=5250s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5280s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5310s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5340s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5370s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5400s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5430s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5460s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5490s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5520s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5550s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5580s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5610s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5640s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5670s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5700s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5730s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5760s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5790s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5820s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5850s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5880s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5910s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5940s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5970s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6000s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6030s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6060s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6090s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6120s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6150s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6180s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6210s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6240s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6270s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6300s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6330s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6360s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6390s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6420s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6450s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6480s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6510s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6540s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6570s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6600s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6630s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6660s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6690s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6720s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6750s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6780s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6810s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6840s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6870s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6900s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6930s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6960s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=6990s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7020s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7050s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7080s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7110s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7140s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7170s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7200s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7230s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7260s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7290s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7320s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7350s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7380s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7410s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7440s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7470s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7500s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7530s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7560s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7590s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7620s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7650s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7680s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7710s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7740s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7770s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7800s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7830s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7860s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7890s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7920s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7950s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=7980s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8010s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8040s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8070s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8100s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8130s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8160s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8190s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8220s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8250s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=8280s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
