coverage: no map yet
coverage: t=4020s known=393.4m2 free=374.2m2 occ=19.1m2 (402x401)
coverage: t=4050s known=393.4m2 free=374.2m2 occ=19.1m2 (402x401)
coverage: t=4080s known=393.4m2 free=374.2m2 occ=19.2m2 (402x401)
coverage: t=4110s known=393.4m2 free=374.2m2 occ=19.2m2 (402x401)
coverage: t=4140s known=393.4m2 free=374.2m2 occ=19.2m2 (402x401)
coverage: t=4170s known=393.4m2 free=374.2m2 occ=19.2m2 (402x401)
coverage: t=4200s known=393.4m2 free=374.6m2 occ=18.8m2 (402x401)
coverage: t=4230s known=393.5m2 free=374.6m2 occ=18.8m2 (402x401)
coverage: t=4260s known=393.5m2 free=374.6m2 occ=18.8m2 (402x401)
coverage: t=4290s known=393.5m2 free=374.6m2 occ=18.9m2 (403x401)
coverage: t=4320s known=393.5m2 free=374.6m2 occ=18.9m2 (403x401)
coverage: t=4350s known=393.5m2 free=374.7m2 occ=18.8m2 (403x401)
coverage: t=4380s known=393.5m2 free=374.7m2 occ=18.8m2 (403x401)
coverage: t=4410s known=393.5m2 free=374.7m2 occ=18.8m2 (403x401)
coverage: t=4440s known=393.5m2 free=374.7m2 occ=18.8m2 (403x401)
coverage: t=4470s known=393.5m2 free=374.7m2 occ=18.9m2 (403x401)
Traceback (most recent call last):
  File "/ros2_ws/scripts/map_coverage.py", line 61, in <module>
    main()
  File "/ros2_ws/scripts/map_coverage.py", line 55, in main
    rclpy.spin(node)
  File "/opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/__init__.py", line 229, in spin
    executor.spin_once()
  File "/opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py", line 808, in spin_once
    self._spin_once_impl(timeout_sec)
  File "/opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py", line 797, in _spin_once_impl
    handler, entity, node = self.wait_for_ready_callbacks(timeout_sec=timeout_sec)
  File "/opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py", line 780, in wait_for_ready_callbacks
    return next(self._cb_iter)
  File "/opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py", line 681, in _wait_for_ready_callbacks
    raise ExternalShutdownException()
rclpy.executors.ExternalShutdownException
